song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
corazón roto - remix_brray & jhayco & ryan castro,2024-08-10,2024-09-13,26,33,2024-09-09,True,single,30,35
corazón roto pt. 3_brray & anuel aa & chencho corleone,2024-09-13,2025-02-04,21,104,2024-09-27,True,single,14,145
corazón vacío_maria becerra,2024-07-05,2024-10-13,19,101,2024-07-19,False,single,14,101
corleone_saiko,2024-12-24,2025-01-15,21,20,2024-12-24,False,album,0,23
corleone_saiko & yandel,2024-12-17,2024-12-23,16,7,2024-12-21,False,single,4,7
cosa nuestra_rauw alejandro,2025-11-17,2025-11-18,16,2,2025-11-17,True,album,0,2
cosas pendientes_maluma,2025-11-24,2025-11-27,37,2,2025-11-27,False,single,3,4
cosas que no te dije_saiko,2024-08-16,2025-04-27,7,252,2024-12-12,False,single,118,255
cosmeticos_myke towers,2024-11-25,2024-11-29,33,2,2024-11-25,True,album,0,5
cruel summer_taylor swift,2025-06-01,2025-06-01,39,1,2025-06-01,False,album,0,1
crush_sky rompiendo & dei v,2025-04-07,2025-08-23,15,137,2025-04-27,False,single,20,139
cuando te vi | crossover #5_big one & maria becerra & trueno,2025-07-05,2025-10-28,11,114,2025-08-14,True,single,40,116
cupido_engel montaz & kuv507 & latinnites music,2025-04-18,2025-06-05,22,15,2025-04-23,False,single,5,49
cupido_tini,2024-05-18,2024-09-12,17,105,2024-05-19,False,album,1,118
cybertruck_bad bunny,2024-10-14,2024-10-21,8,8,2024-10-14,True,album,0,8
cómo te atreves_morat,2025-03-02,2025-03-02,45,1,2025-03-02,False,album,0,1
córcega_mora,2024-08-30,2024-09-02,17,4,2024-08-30,True,album,0,4
cúrame_rauw alejandro,2025-08-01,2025-08-16,41,15,2025-08-10,True,album,9,16
dararí_aitana,2024-09-24,2024-09-29,13,6,2024-09-24,False,album,0,6
de plastilina_lola indigo & pepe y vizio,2024-10-21,2024-10-22,40,2,2024-10-21,False,single,0,2
degenere 👑 (feat. benny blanco)_myke towers,2025-10-20,2025-11-27,1,39,2025-10-25,True,album,5,39
demo #5: nostalgia - spanglish version_flowgpt,2024-11-08,2024-11-09,12,2,2024-11-09,True,single,1,2
deportivo_blessd & anuel aa,2025-11-16,2025-11-23,35,4,2025-11-23,True,single,7,8
desataaa_ovy on the drums & myke towers & saiko,2025-03-17,2025-07-09,6,113,2025-03-21,True,single,4,115
despechá_rosalía,2024-05-22,2025-01-02,39,51,2024-06-12,False,album,21,226
después de la 1_cris mj & floyymenor,2025-09-19,2025-11-23,11,63,2025-09-27,True,single,8,66
desquite_feid,2024-12-02,2024-12-02,39,1,2024-12-02,False,album,0,1
detrás del dj_rels b,2025-04-28,2025-04-28,39,1,2025-04-28,True,album,0,1
diabla_los diozes,2025-10-27,2025-11-20,17,25,2025-11-03,True,album,7,25
diablita (feat. yovngchimi)_myke towers,2025-08-24,2025-09-04,34,9,2025-08-24,True,album,0,12
diabólica_cris mj,2025-03-13,2025-08-19,14,156,2025-03-23,True,album,10,160
diamonds_mora,2024-08-30,2024-09-02,18,4,2024-08-30,True,album,0,4
dicelo_lianet rivero & lia & gatillo,2024-10-20,2024-10-23,24,4,2024-10-21,False,single,1,4
